,s_off,h_off,h_diag,s0,t1
0,0.67528,-0.7190247195088185,-1.0006062604482306,-1.0264737715229986,-0.8671518260021313
1,0.67598,-0.7206047477850746,-1.001465178194549,-1.0275002840007779,-0.866799674123432
2,0.6763,-0.721821684530708,-1.0018436254532546,-1.0282558670786628,-0.8650662370174438
3,0.67206,-0.7207977530900294,-1.0030170909631078,-1.0309527433543875,-0.8605822341680748
4,0.67846,-0.7173770880218007,-1.0013159646598613,-1.0239702183439952,-0.8830592667725962
5,0.6758,-0.7201116938973626,-1.0027149213906847,-1.0280621883805032,-0.8716941008430665
6,0.67626,-0.7207874613998273,-1.002901977565739,-1.028294798519064,-0.8714231054732556
7,0.6794,-0.7220836664883852,-1.0020390992675035,-1.026630204689704,-0.8732234334969379
8,0.67626,-0.7180602415593806,-1.002021771364074,-1.0261427301990471,-0.8771283431293425
9,0.6755,-0.7178813264752177,-1.0027988403908732,-1.026965184641057,-0.8780200737000167
